koi_disposition,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_time0,koi_eccen,koi_impact,koi_duration,koi_depth,koi_sma,koi_incl,koi_model_snr,koi_count,koi_bin_oedp_sig,koi_steff,koi_slogg,koi_srad,koi_smass,koi_kepmag
candidate,0,0,0,0,15.33528675,174.00278,2455007.003,0.0,0.773,3.897,3081.4,0.1179,87.95,86.6,5,0.0447,5251.0,4.581,0.817,0.926,15.855
candidate,0,0,0,0,7.95825328,137.80219,2454970.802,0.0,0.706,4.377,50.0,0.0809,85.95,14.7,4,0.0302,5847.0,4.191,1.402,1.113,12.487
candidate,0,0,0,0,31.33046135,153.43031,2454986.43,0.0,0.798,5.176,5073.8,0.1898,88.62,117.2,5,0.4851,5251.0,4.581,0.817,0.926,15.855
non-candidate,0,1,0,0,3.9043425,173.393734,2455006.394,0.0,0.709,3.831,16228.0,0.0484,84.06,323.4,1,0.1597,5810.0,4.526,0.898,0.989,15.016
non-candidate,0,1,0,0,9.286358079,171.8214689,2455004.821,0.0,0.377,3.49949,44791.0,0.081,89.06,1671.1,1,0.0415,5670.0,4.523,0.821,0.82,15.365
non-candidate,0,1,0,0,3.951405455,173.276125,2455006.276,0.0,1.276,2.1862,2453.9,0.0482,76.4,117.2,1,0.9756,6046.0,4.539,0.869,0.953,15.446
candidate,0,0,0,0,23.65369415,171.376107,2455004.376,0.0,0.008,8.2183,3341.8,0.1658,89.98,266.3,5,0.6436,5739.0,4.191,1.384,1.083,15.084
candidate,0,0,0,0,13.23352214,140.32196,2454973.322,0.0,0.014,6.7372,504.6,0.1126,89.95,49.1,5,0.3752,5739.0,4.191,1.384,1.083,15.084
candidate,0,0,0,0,6.15560285,134.81656,2454967.817,0.0,0.235,4.9843,285.0,0.0676,88.56,35.1,5,0.7589,5739.0,4.191,1.384,1.083,15.084
candidate,0,0,0,0,2.090811305,134.17462,2454967.175,0.0,0.746,3.388,115.9,0.0329,77.03,19.9,5,0.5003,5739.0,4.191,1.384,1.083,15.084
candidate,0,0,0,0,3.180027898,133.49863,2454966.499,0.0,0.196,3.5797,120.3,0.0439,88.34,50.4,4,0.2045,5847.0,4.191,1.402,1.113,12.487
candidate,0,0,0,0,50.4467417,178.5014,2455011.501,0.0,0.379,7.159,370.3,0.2747,89.57,19.4,5,0.6433,5739.0,4.191,1.384,1.083,15.084
candidate,0,0,0,0,11.76307164,180.93613,2455013.936,0.0,0.048,2.9076,1037.3,0.0954,89.91,48.9,2,0.9555,4959.0,4.603,0.756,0.849,15.208
candidate,0,0,0,0,56.2279271,132.29259,2454965.293,0.0,0.7,3.57,862.7,0.2707,89.56,20.9,2,0.0904,4959.0,4.603,0.756,0.849,15.208
non-candidate,0,1,1,1,2.384052875,171.58362,2455004.584,0.0,1.178,3.0918,1268.1,0.0308,58.76,50.5,1,0.9924,4794.0,4.58,0.701,0.683,15.836
candidate,0,0,0,0,7.953547,174.66224,2455007.662,0.0,0.3,2.6312,875.4,0.0712,89.24,38.4,2,0.2613,4768.0,4.536,0.779,0.759,15.66
candidate,0,0,0,0,4.14451656,135.92831,2454968.928,0.0,0.004,2.3421,391.8,0.0461,89.99,22.8,2,0.2616,4768.0,4.536,0.779,0.759,15.66
